Date,Open,High,Low,Close,Volume
2020-06-10,155,163.08,153.65,156.16,8852260
2020-06-11,147.21,155.24,140.25,143.51,9487201
2020-06-12,151.33,151.9412,141.65,144.74,5704968
2020-06-15,142.6,154.4,141.01,154,6470464
2020-06-16,156.5,157.35,147.5405,151.94,4806318
2020-06-17,155.98,167.16,154.37,156.34,16144354
2020-06-18,157.26,160.97,154.88,158.2,6264252
2020-06-19,160.2,165.46,156.87,158.28,7732060
2020-06-22,161.39,164.96,158.6,159.63,5035031
2020-06-23,159.42,160.137,151.56,152.79,7571077
2020-06-24,150.0935,156.5799,148.5,151.38,5063373
2020-06-25,149,151.75,136,145.35,13608756
2020-06-26,143.78,146,140.25,141.68,4284353
2020-06-29,133.65,134.21,125,131.55,10411256
2020-06-30,132.8299,136.606,130.5501,133.98,4915787
2020-07-01,146.67,151.53,138.77,141.64,14713359
2020-07-02,146.66,146.95,140.3,140.72,4938832
2020-07-06,143,144.72,140.15,143,4625862
2020-07-07,142.59,146.45,138.5,143.11,4844598
2020-07-08,143.41,145.95,140.75,144.98,3049115
2020-07-09,145,145.5,136.5,141.22,4505223
2020-07-10,135.21,136.65,130.75,135.03,5998305
2020-07-13,135.1,136.17,125.88,125.98,6980858
2020-07-14,126.01,129.99,125.27,127.78,3448069
2020-07-15,129.12,135.66,126.87,131.75,6835827
2020-07-16,129.59,133.6,126.4572,128.45,5508597
2020-07-17,128.67,129.7399,126.6,128.27,2693391
2020-07-20,128.31,129.1281,126.51,128.5,2487324
2020-07-21,129.84,135.92,128.75,129.92,5015951
2020-07-22,130.15,133.07,128.7,130.57,2716749
2020-07-23,130.08,132.8,124.5611,127.15,3561641
2020-07-24,124.015,126.4,120.3201,125.09,2700867
2020-07-27,125.25,126.78,122.25,126.72,2912188
2020-07-28,124.95,129.5781,124.95,125.43,2062421
2020-07-29,126.5,128.34,125.21,126.68,2110937
2020-07-30,126.14,127.14,122.11,123.32,2667629
2020-07-31,124.09,125.9,122.41,125.9,2964273
2020-08-03,128.65,134.4,127.15,134.32,5635003
2020-08-04,138.6665,142.51,134.16,142.25,10277615
2020-08-05,130.14,138.39,130,132.69,10613673
2020-08-06,133.53,136.23,131.57,132.58,3954018
2020-08-07,132.33,135.98,130.5,131.51,3478630
2020-08-10,132.2,132.5675,124.66,127.43,3538878
2020-08-11,127.38,128.57,124.4,125.5,2602927
2020-08-12,126.28,126.77,123.09,123.83,3609939
2020-08-13,124.83,127.45,124.5,126.99,2528227
2020-08-14,127.05,127.35,124.65,125.04,1426121
2020-08-17,125.56,126.75,123.96,125.5,1708391
2020-08-18,125.15,126.64,122.67,124.31,2111181
2020-08-19,124.31,126.74,121.3538,125.35,3013490
2020-08-20,124.58,129.64,123.27,127.92,2546505
2020-08-21,127.13,128.67,125.3,126,1791763
2020-08-24,126.24,127.4,123.75,124.51,1915132
2020-08-25,125,125.83,123.0127,124.51,1930232
2020-08-26,124.4,126.1323,123.36,125.52,2258436
2020-08-27,129.5,138.5,128.78,132.15,10979526
2020-08-28,132.28,134.6418,129.59,131.02,2874285
2020-08-31,135.21,138.25,133.1,135.85,4298669
2020-09-01,136.05,136.68,131.8,135.24,2600321
2020-09-02,135.99,135.99,129.4,129.7,3004880
2020-09-03,133.01,142.5,128.71,129.8,10864308
2020-09-04,130.62,134.72,120.55,125.82,4671068
2020-09-08,123.81,137.78,123.45,134.47,7318283
2020-09-09,132.5,139.47,132.2483,138.17,4381364
2020-09-10,139.4,149.57,138.59,143.04,8189288
2020-09-11,144,144.07,132.45,134.88,3989222
2020-09-14,136.15,145.37,136.05,143.18,4812042
2020-09-15,144.12,150,141.4134,146.48,4324387
2020-09-16,147.48,158.6,146.16,156.57,8254012
2020-09-17,150.5,157.58,149.26,157.22,4795981
2020-09-18,150,153.44,146.02,149.04,8810022
2020-09-21,144.255,149.07,140.31,148.8,3839272
2020-09-22,150.53,162.5,150.38,153.82,8806287
2020-09-23,154.44,157.5,149.41,150.57,2890852
2020-09-24,148.51,150.9725,144.7,147.9,2461122
2020-09-25,149.47,155.91,148,155.02,2569214
2020-09-28,158.2,160,150.41,151.3,2675858
2020-09-29,160,170.45,159.15,165.66,20654965
2020-09-30,164.8326,172.45,163.84,166.06,6050715
2020-10-01,169.24,172.69,165.88,170.6,4729154
2020-10-02,165.59,171.75,164.81,166.24,2949030
2020-10-05,168.65,175.89,166.7592,175.49,4163209
2020-10-06,176.23,186.7,175,181.86,8478843
2020-10-07,184.65,191.6,184.2,189.14,5167850
2020-10-08,193,197.5,188.6403,193.38,5878861
2020-10-09,194.66,195.91,190.45,194.945,3107515
2020-10-12,196.53,197.25,190.76,192.3,2506008
2020-10-13,184.39,189.06,180.96,187.62,5048405
2020-10-14,186.64,191.43,186,188.73,2554267
2020-10-15,184.68,189,183.4,184.85,2274423
2020-10-16,187.17,188.31,182.35,183.58,1961644
2020-10-19,184.11,188.59,181.1,184.14,2255048
2020-10-20,185.0585,185.0585,175.95,176.29,2362468
2020-10-21,177.59,181.07,176.0075,177.91,1845599
2020-10-22,178.42,178.84,167.9,172.17,3283687
2020-10-23,173,174.124,168.1,171.73,1711194
2020-10-26,171.42,175.34,161.84,164.54,2731482
2020-10-27,165,167.01,160.85,161.95,1894568
2020-10-28,159.5,160.52,154.745,156.05,2426584
2020-10-29,157.44,157.45,151.35,151.85,1985042
2020-10-30,150.5,152.3,141.07,142.43,3166862
2020-11-02,145.35,148,141.4746,143.56,2155355
2020-11-03,146.26,150.76,145.71,146.35,2145117
2020-11-04,150.1,153.1098,148.21,149.29,1673405
2020-11-05,153.5,157.35,152.3173,157.04,2653324
2020-11-06,156.78,158.94,154.31,156.86,2302248
